Brand,Type,Reg_date,Coe_left,Dep,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,Price
Mercedes-Benz,Luxury Sedan,31-Mar-2017,7yrs 12days COE left),N.A,N.A,2382,N.A,54000,2996,1940,2017,Auto,90326,134587,200,1,N.A
Nissan,Van,31-Mar-2018,8yrs 12days COE left),6470,34792,N.A,29629,36859,2488,1780,2017,Manual,25062,1254,1,N.A,52000
Toyota,Mid-Sized Sedan,18-Apr-2008,2yrs 11mths 10days COE left),N.A,N.A,821,N.A,21061,1497,1095,2008,Auto,12498,12498,80,2,N.A
Kia,Mid-Sized Sedan,15-Mar-2019,8yrs 11mths 24days COE left),N.A,N.A,738,N.A,25689,1591,1287,2018,Auto,17819,17819,93,1,N.A
Toyota,Truck,14-Feb-2020,9yrs 10mths 26days COE left),6550,N.A,N.A,24789,25001,2982,1780,2019,Auto,31468,1574,1,N.A,64988
Mercedes-Benz,Luxury Sedan,14-Mar-2018,7yrs 11mths 24days COE left),17790,56003,1202,84215,42322,1991,1605,2017,Auto,52883,67190,135,1,175800
Honda,Stationwagon,22-Mar-2017,7yrs 3days COE left),N.A,N.A,682,N.A,50789,1496,1130,2016,Auto,18072,8072,97,1,N.A
Peugeot,Stationwagon,24-Jun-2015,5yrs 3mths 5days COE left),N.A,N.A,508,N.A,66590,1199,1190,2015,Auto,20896,6255,96,1,N.A
BMW,Sports Car,23-Aug-2016,6yrs 5mths 4days COE left),N.A,N.A,1210,N.A,57903,1997,1365,2016,Auto,32841,37978,135,1,N.A
Mitsubishi,Truck,16-Jun-2014,4yrs 2mths 28days COE left),8480,9279,N.A,4151,9775,2998,2420,2014,Manual,29814,1491,1,N.A,36000
Renault,Van,29-Jul-2010,4mths 10days COE left),N.A,N.A,N.A,N.A,30601,1461,1280,2009,Manual,18580,929,2,N.A,N.A
Subaru,SUV,11-Apr-2016,6yrs 23days COE left),N.A,N.A,1208,N.A,45009,1995,1566,2015,Auto,14948,14948,110,1,N.A
Land,Truck,26-Jul-2010,10yrs  COE left),11790,48000,N.A,N.A,N.A,2402,1740,2010,Manual,47813,2391,2,N.A,118000
Toyota,Mid-Sized Sedan,01-Mar-2007,1yr 11mths 10days COE left),N.A,N.A,965,N.A,25197,1598,1115,2006,Auto,15355,16891,81,1,N.A
Audi,Luxury Sedan,26-May-2017,7yrs 2mths 7days COE left),N.A,N.A,392,N.A,51106,999,1280,2017,Auto,24451,16232,85,1,N.A
Nissan,SUV,15-Mar-2016,5yrs 11mths 24days COE left),N.A,N.A,508,N.A,45000,1197,1285,2015,Auto,18454,13454,85,2,N.A
Honda,MPV,04-May-2010,5yrs  COE left),7960,138000,978,N.A,N.A,1799,1385,2009,Auto,26187,26187,103,3,39800
Toyota,Mid-Sized Sedan,15-May-2009,9yrs 1mth 12days COE left),4710,156000,752,23880,26175,1497,1095,2009,Auto,12468,4054,80,3,43000
Honda,SUV,20-Apr-2017,7yrs 1mth 1day COE left),9490,37800,N.A,3750,N.A,1496,1280,2016,Auto,27434,5000,112,1,69800
Volkswagen,Sports Car,30-Apr-2010,10yrs  COE left),5880,95000,120,N.A,N.A,1390,1285,2010,Auto,24389,24389,118,1,58800
Fiat,Van,05-Aug-2010,4mths 17days COE left),N.A,N.A,N.A,N.A,31389,1910,1300,2010,Manual,16579,829,2,N.A,N.A
Mitsubishi,Truck,24-Feb-2014,3yrs 11mths 5days COE left),N.A,N.A,N.A,N.A,50001,2998,2340,2013,Manual,28181,1410,1,N.A,N.A
BMW,Luxury Sedan,31-Aug-2011,1yr 5mths 12days COE left),N.A,N.A,2382,N.A,70117,2996,1855,2011,Auto,72864,72864,190,2,N.A
Mercedes-Benz,Hatchback,18-Feb-2020,9yrs 10mths 30days COE left),17650,39,1202,72342,30890,1991,N.A,2019,Auto,45410,55574,225,1,202988
Hyundai,Mid-Sized Sedan,12-Jan-2016,5yrs 9mths 24days COE left),N.A,N.A,738,N.A,45002,1591,1292,2015,Auto,15198,15198,97,2,N.A
Subaru,Sports Car,22-Jan-1996,5yrs 10mths 3days COE left),N.A,N.A,1809,N.A,58615,1994,N.A,1995,Manual,27614,41421,6,N.A,N.A
Toyota,Truck,17-Feb-2020,9yrs 10mths 29days COE left),6530,N.A,N.A,12804,12903,2982,1760,2019,Manual,29349,1468,1,N.A,64800
Toyota,MPV,09-Mar-2006,5yrs 11mths 18days COE left),N.A,N.A,1694,N.A,50932,1998,1470,2006,Auto,26212,28834,110,1,N.A
Honda,MPV,22-Aug-2006,1yr 4mths 13days COE left),N.A,N.A,2279,N.A,25815,2354,1648,2006,Auto,29287,32216,118,4,N.A
Honda,SUV,08-Mar-2016,5yrs 11mths 17days COE left),8560,53000,682,32997,43000,1496,1190,2015,Auto,19753,9753,96,1,56000
Honda,Mid-Sized Sedan,05-Dec-2016,6yrs 8mths 16days COE left),11080,78000,684,56485,56410,1498,1324,2016,Auto,26990,24786,127,2,86800
Tesla,SUV,08-Mar-2019,8yrs 11mths 17days COE left),38590,N.A,N.A,104395,33689,N.A,2427,2018,Auto,81598,98877,386,1,395800
Mazda,SUV,21-Jan-2019,8yrs 10mths 2days COE left),8130,18000,1210,42508,29706,1998,1290,2018,Auto,21162,21627,115,2,82800
Toyota,MPV,09-May-2006,1yr 1mth 20days COE left),N.A,N.A,1361,N.A,23024,1794,1320,2006,Auto,21470,23617,97,3,N.A
Audi,Sports Car,16-Jun-2010,10yrs  COE left),9570,N.A,4206,N.A,N.A,4163,1675,2010,Manual,53225,53225,260,1,95800
Toyota,MPV,22-Mar-2010,10yrs  COE left),6880,159000,1638,N.A,N.A,2362,1795,2010,Auto,35039,35039,125,3,68800
Audi,SUV,31-Aug-2011,10yrs  COE left),9570,68720,2694,N.A,N.A,3197,1795,2011,Auto,53881,53881,199,1,95800
Nissan,Van,19-Feb-2020,9yrs 11mths  COE left),4930,N.A,N.A,24823,25001,1597,1220,2019,Auto,20475,1024,1,N.A,48988
Honda,SUV,26-Nov-2015,5yrs 8mths 7days COE left),N.A,N.A,682,N.A,57301,1496,1190,2015,Auto,19398,9398,96,1,N.A
Kia,Mid-Sized Sedan,19-Dec-2017,7yrs 9mths  COE left),7730,33000,738,44127,41761,1591,1295,2017,Auto,15649,15649,95,1,67800
BMW,Luxury Sedan,31-Mar-2010,10yrs  COE left),8480,176000,2362,N.A,N.A,2979,1895,2010,Auto,85813,85813,240,2,84800
Suzuki,Hatchback,17-Jun-2009,4yrs 13days COE left),6690,135487,810,10308,12763,1586,1090,2009,Manual,14396,14002,92,4,27000
BMW,Luxury Sedan,31-May-2012,2yrs 2mths 12days COE left),N.A,N.A,1210,N.A,76881,1997,1455,2012,Auto,42736,42736,180,1,N.A
Mercedes-Benz,Luxury Sedan,29-May-2019,9yrs 2mths 10days COE left),N.A,N.A,1202,N.A,42564,1991,1605,2018,Auto,55759,72367,155,1,N.A
Bentley,Luxury Sedan,N.A.,NA,N.A,N.A,N.A,N.A,10,6750,N.A,N.A,$10,000,1,N.A,N.A,N.A,N.A
Honda,Mid-Sized Sedan,10-May-2006,1yr 1mth 21days COE left),N.A,N.A,1694,N.A,23024,1998,1312,2006,Auto,22380,24618,114,6,N.A
Volkswagen,Hatchback,12-Oct-2007,2yrs 6mths 23days COE left),N.A,N.A,962,N.A,21282,1595,1309,2007,Auto,19185,21104,75,2,N.A
Mercedes-Benz,Hatchback,16-Mar-2016,5yrs 11mths 25days COE left),N.A,N.A,740,N.A,43000,1595,1395,2015,Auto,23253,19555,90,1,N.A
Honda,Mid-Sized Sedan,10-Apr-2019,9yrs 22days COE left),7500,9989,684,37338,26659,1497,1096,2019,Auto,17560,17560,88,1,76800
BMW,Luxury Sedan,29-May-2015,5yrs 2mths 10days COE left),N.A,N.A,742,N.A,78004,1598,1405,2014,Auto,25951,18332,100,2,N.A
Toyota,Mid-Sized Sedan,21-Aug-2008,8yrs 2mths 13days COE left),N.A,N.A,821,N.A,38192,1497,1095,2008,Auto,11834,11834,80,2,N.A
Nissan,Luxury Sedan,29-Feb-2016,5yrs 11mths 10days COE left),N.A,N.A,1786,N.A,44001,2488,1510,2015,Auto,26849,29589,127,1,N.A
Mercedes-Benz,Luxury Sedan,04-Dec-2014,4yrs 8mths 15days COE left),14960,49935,1202,69290,71990,1991,1655,2014,Auto,45353,50495,135,1,95800
Mitsubishi,MPV,28-Dec-2010,9mths 9days COE left),N.A,N.A,1656,N.A,64900,2378,1710,2010,Auto,24476,24476,121,1,N.A
Toyota,MPV,05-Mar-2018,7yrs 11mths 15days COE left),9390,37820,976,51049,45289,1798,1355,2017,Auto,19955,19955,105,1,84800
Mercedes-Benz,Luxury Sedan,29-Jan-2015,4yrs 10mths 10days COE left),15910,98578,1202,65796,70890,1991,1465,2014,Auto,44779,44691,135,2,99800
Hyundai,Mid-Sized Sedan,15-Apr-2013,3yrs 27days COE left),10190,110000,738,24578,61029,1591,1267,2012,Auto,13951,8951,95,1,35800
Toyota,MPV,22-Mar-2011,1yr 3days COE left),13930,104968,976,18067,61894,1798,1360,2011,Auto,21503,21503,106,1,24800
Kia,Luxury Sedan,08-Jan-2019,8yrs 9mths 20days COE left),13390,40300,1210,56872,31302,1998,1642,2018,Auto,33603,39045,182,1,137500
Toyota,MPV,20-Feb-2020,9yrs 11mths 1day COE left),15000,39,2338,84109,37900,2493,N.A,2019,Auto,49970,61958,145,1,179988
Isuzu,Truck,02-Mar-2010,10yrs  COE left),13570,N.A,N.A,N.A,N.A,15681,17420,2009,Manual,113279,5664,1,N.A,135800
Nissan,Truck,23-Jul-2011,1yr 4mths 4days COE left),9520,N.A,N.A,3092,22989,2953,1800,2011,Manual,31133,1557,1,N.A,12800
Honda,Hatchback,25-Feb-2010,4yrs 11mths 6days COE left),N.A,N.A,590,N.A,16519,1339,1010,2009,Auto,14949,14949,73,2,N.A
Hyundai,Mid-Sized Sedan,24-Oct-2017,7yrs 7mths 5days COE left),7210,40926,738,40774,41761,1591,1345,2017,Auto,12032,12032,93,1,60800
Porsche,Sports Car,19-May-2011,1yr 2mths  COE left),155420,84000,3638,83514,69000,3800,1525,2011,Auto,137202,137202,300,3,250000
Honda,SUV,24-Feb-2017,6yrs 11mths 5days COE left),N.A,N.A,682,N.A,48401,1496,1190,2016,Auto,21216,11703,96,1,N.A
Toyota,MPV,03-May-2017,7yrs 1mth 14days COE left),9520,91000,976,53447,54000,1798,1360,2017,Auto,19955,19955,105,1,77800
BMW,Luxury Sedan,13-Aug-2013,3yrs 4mths 25days COE left),N.A,N.A,1210,N.A,77600,1997,1420,2013,Auto,39426,42197,135,1,N.A
Nissan,Luxury Sedan,25-Oct-2011,1yr 7mths 6days COE left),10300,N.A,1210,25460,74490,1997,1450,2010,Auto,24584,24584,100,2,28800
Nissan,Luxury Sedan,29-Feb-2016,5yrs 11mths 10days COE left),N.A,N.A,1786,N.A,44001,2488,1510,2016,Auto,27414,30380,127,1,N.A
Mercedes-Benz,Van,11-Jun-2014,4yrs 2mths 23days COE left),6330,77700,N.A,18202,43001,1461,1420,2014,Manual,23925,1197,2,N.A,26800
Lexus,SUV,22-Jul-2017,7yrs 4mths 3days COE left),15580,38000,1210,74797,50001,1998,1755,2017,Auto,41971,50760,175,1,139800
Hyundai,Mid-Sized Sedan,12-Mar-2011,11mths 21days COE left),10770,115500,738,9056,38928,1591,1264,2010,Auto,10476,10476,89,5,15800
BMW,Sports Car,29-Sep-2017,7yrs 6mths 10days COE left),21940,36000,2362,82845,49189,2979,1520,2016,Auto,49318,61046,272,1,195800
Toyota,Van,05-Mar-2010,5yrs  COE left),N.A,N.A,N.A,N.A,N.A,2982,1740,2009,Manual,36979,1849,1,N.A,N.A
Land,SUV,22-Feb-2012,1yr 11mths 3days COE left),14100,145000,2686,36441,71000,3192,1845,2011,Auto,41323,41323,171,1,47888
BMW,Luxury Sedan,07-Nov-2012,2yrs 7mths 19days COE left),15950,N.A,1210,48615,86889,1997,1455,2012,Auto,42818,42818,180,2,63500
BMW,SUV,30-Sep-2016,6yrs 6mths 11days COE left),N.A,N.A,684,N.A,56956,1499,1430,2016,Auto,29796,28715,100,2,N.A
Mercedes-Benz,Luxury Sedan,15-Nov-2018,8yrs 7mths 27days COE left),11970,15500,740,45866,25000,1595,1430,2018,Auto,28763,32269,90,1,119888
Mazda,MPV,13-Aug-2015,5yrs 4mths 25days COE left),N.A,N.A,1210,N.A,60789,1998,1535,2015,Auto,17533,17533,111,1,N.A
Aston,Sports Car,28-Feb-2019,8yrs 11mths 9days COE left),N.A,N.A,5834,N.A,35310,5204,1845,2018,Auto,284263,483674,533,2,N.A
Toyota,Truck,15-Aug-2002,1yr 7mths 13days COE left),7280,N.A,N.A,5282,32564,2986,1500,2002,Manual,23726,1187,3,N.A,11800
Toyota,Mid-Sized Sedan,26-Jun-2006,1yr 3mths 7days COE left),8500,N.A,958,5905,23227,1497,1020,2006,Auto,12707,13675,80,4,10800
Honda,Mid-Sized Sedan,07-Jun-2019,9yrs 2mths 19days COE left),N.A,N.A,742,N.A,33199,1597,1237,2019,Auto,20031,20044,92,1,N.A
Nissan,SUV,18-Jul-2018,8yrs 3mths 29days COE left),N.A,N.A,1210,N.A,31000,1997,1626,2018,Auto,24057,25680,106,1,N.A
Lexus,Luxury Sedan,26-Oct-2006,1yr 7mths 7days COE left),12890,156000,3332,9111,28376,2995,1660,2006,Auto,54507,59958,183,3,20700
Mercedes-Benz,Luxury Sedan,19-Jan-2016,5yrs 10mths  COE left),13370,N.A,740,61581,59889,1595,1425,2015,Auto,34618,35466,115,2,95800
Suzuki,Van,03-Aug-2007,2yrs 4mths 13days COE left),5410,N.A,N.A,8074,17035,658,860,2007,Auto,11847,593,4,N.A,12822
Honda,Hatchback,18-Aug-2008,3yrs 4mths 30days COE left),6380,151500,708,11684,17099,1339,1040,2008,Auto,13885,13885,60,2,21800
Mazda,SUV,26-Jul-2019,9yrs 4mths 7days COE left),8270,5000,1210,64961,52410,1998,1290,2018,Auto,20867,21214,115,1,88000
Toyota,MPV,12-Mar-2009,8yrs 11mths 10days COE left),6570,N.A,1316,28600,31933,1986,1560,2008,Auto,25184,25184,105,4,58800
Toyota,Mid-Sized Sedan,15-Sep-2010,5yrs  COE left),N.A,N.A,742,N.A,N.A,1598,1195,2010,Auto,16680,16680,80,4,N.A
Honda,MPV,10-Oct-2014,4yrs 6mths 21days COE left),13270,80000,1630,52613,64889,2356,1855,2014,Auto,29178,32850,129,2,77000
BMW,Luxury Sedan,13-May-2011,1yr 1mth 24days COE left),N.A,N.A,1796,N.A,55001,2497,1650,2011,Auto,48784,48784,150,5,N.A
Toyota,Mid-Sized Sedan,08-Mar-2017,6yrs 11mths 17days COE left),8580,40310,742,49458,49430,1598,1215,2016,Auto,19990,19990,90,1,69800
Hyundai,Mid-Sized Sedan,27-Jan-2010,4yrs 10mths 8days COE left),5720,97000,738,15741,16184,1591,1264,2009,Auto,11422,11422,89,2,27800
Mitsubishi,Mid-Sized Sedan,05-Mar-2010,4yrs 11mths 14days COE left),N.A,N.A,684,N.A,16604,1499,1313,2009,Auto,17827,17827,80,1,N.A
Mitsubishi,Truck,26-Jan-2011,10yrs  COE left),7380,N.A,N.A,N.A,N.A,12882,7000,2010,Manual,98932,4947,1,N.A,73800
Audi,Luxury Sedan,31-Jul-2019,9yrs 4mths 12days COE left),N.A,N.A,1194,N.A,39889,1984,1480,2019,Auto,33718,39206,140,1,N.A
Lamborghini,Sports Car,13-Aug-2015,5yrs 4mths 25days COE left),65280,33992,5834,356501,74501,5204,1532,2015,Auto,249800,421640,449,2,563666
Nissan,Mid-Sized Sedan,09-Nov-2007,2yrs 7mths 21days COE left),N.A,N.A,965,N.A,20997,1597,1110,2007,Auto,11644,12809,81,2,N.A
Mazda,MPV,27-Mar-2017,7yrs 8days COE left),8840,65000,1210,50400,51000,1998,1535,2016,Auto,19432,19432,111,1,71800
Mitsubishi,Mid-Sized Sedan,17-Mar-2010,5yrs  COE left),6560,163424,734,N.A,N.A,1584,1162,2009,Auto,13446,13446,79,2,32800
Honda,SUV,04-Dec-2015,5yrs 8mths 15days COE left),N.A,N.A,682,N.A,56001,1496,1190,2015,Auto,19718,9718,96,3,N.A
Nissan,Truck,20-Mar-2009,4yrs 1day COE left),3940,N.A,N.A,10717,13378,2953,1700,2008,Manual,29881,1495,4,N.A,15800
Renault,Van,11-Dec-2015,5yrs 8mths 22days COE left),5890,88000,N.A,26124,45557,1598,1340,2015,Auto,18107,906,1,N.A,33800
Mercedes-Benz,Sports Car,03-Nov-2011,1yr 7mths 15days COE left),17580,N.A,974,40170,65058,1796,1575,2011,Auto,53787,53787,150,3,55500
Chevrolet,Sports Car,09-Sep-2015,5yrs 5mths 21days COE left),N.A.,38500,280,N.A,6551,4638,1350,1960,Manual,25025,27035,171,1,270000
Mazda,Mid-Sized Sedan,30-Apr-2018,8yrs 1mth 11days COE left),N.A,N.A,682,N.A,36810,1496,1310,2017,Auto,14299,14299,88,2,N.A
Mercedes-Benz,Sports Car,03-Feb-2016,5yrs 10mths 15days COE left),34370,29000,4988,209025,60003,4663,2030,2015,Auto,144244,231640,335,1,318000
Honda,Stationwagon,28-Sep-2016,6yrs 6mths 9days COE left),N.A,N.A,682,N.A,47567,1496,1130,2016,Auto,18560,8560,97,1,N.A
Land,SUV,28-Dec-2016,6yrs 9mths 9days COE left),14380,40350,1212,76974,53001,1999,1814,2016,Auto,44795,54713,177,1,124872
Nissan,SUV,27-Jul-2016,6yrs 4mths 8days COE left),N.A,N.A,508,N.A,52301,1197,1285,2016,Auto,18689,13689,85,1,N.A
Toyota,MPV,26-Apr-2010,5yrs  COE left),7760,189500,1198,N.A,N.A,1987,1380,2009,Auto,22003,22003,106,2,38800
Bentley,Sports Car,N.A.,NA,N.A,N.A,3944,N.A,10,3996,N.A,N.A,$222,000,373,1,N.A,N.A,N.A
Hyundai,Mid-Sized Sedan,04-Aug-2017,7yrs 4mths 16days COE left),7500,29855,738,42154,44002,1591,1345,2017,Auto,12903,12903,93,1,61800
BMW,Luxury Sedan,01-Mar-2000,9yrs 10mths 13days COE left),N.A,N.A,1803,N.A,39463,1991,N.A,2000,Auto,44509,62313,5,N.A,N.A
Audi,Sports Car,04-Apr-2011,1yr 16days COE left),28590,78000,1194,35369,N.A,1984,1475,2011,Auto,64308,64308,200,2,62000
Hyundai,SUV,03-Mar-2010,5yrs  COE left),7360,109000,1210,N.A,N.A,1998,1403,2010,Auto,21242,21242,122,3,36800
Subaru,SUV,21-Aug-2018,8yrs 5mths 2days COE left),N.A,N.A,1208,N.A,34381,1995,1591,2018,Auto,13451,13451,110,1,N.A
Toyota,Stationwagon,15-Mar-2016,5yrs 11mths 24days COE left),8010,67000,682,30298,43000,1496,1140,2015,Auto,16044,6044,80,1,51000
Toyota,MPV,02-Mar-2010,10yrs  COE left),N.A,N.A,1198,N.A,N.A,1987,1380,2010,Auto,22003,22003,106,1,N.A
Honda,SUV,11-Feb-2020,9yrs 10mths 23days COE left),8750,250,682,42727,30890,1496,N.A,2017,Auto,24404,16166,112,1,94800
Honda,MPV,23-Feb-2017,6yrs 11mths 4days COE left),8540,38000,684,47920,48401,1497,1160,2016,Auto,19126,19126,88,1,68800
Audi,Luxury Sedan,31-Jul-2019,9yrs 4mths 12days COE left),N.A,N.A,392,N.A,33199,999,1280,2018,Auto,24711,26596,85,1,N.A
Mitsubishi,Mid-Sized Sedan,01-Nov-2018,8yrs 7mths 13days COE left),N.A,N.A,506,N.A,28000,1193,940,2018,Auto,13332,5000,59,1,N.A
Toyota,SUV,26-Jun-2018,8yrs 3mths 7days COE left),N.A,N.A,N.A,N.A,38600,1797,1440,2018,Auto,27021,9830,90,1,N.A
Hyundai,Mid-Sized Sedan,14-Apr-2010,10yrs  COE left),N.A,N.A,738,N.A,N.A,1591,1264,2010,Auto,11528,11528,89,2,N.A
Nissan,SUV,31-Oct-2015,5yrs 7mths 12days COE left),N.A,N.A,508,N.A,57498,1197,1285,2015,Auto,18413,13413,85,1,N.A
Daihatsu,Van,13-Jul-2007,2yrs 3mths 24days COE left),4960,N.A,N.A,7897,17035,659,880,2007,Manual,12261,614,5,N.A,11500
Hyundai,Mid-Sized Sedan,19-Mar-2013,3yrs  COE left),N.A,N.A,738,N.A,74689,1591,1267,2012,Auto,11128,6128,95,2,N.A
BMW,Luxury Sedan,29-Feb-2016,5yrs 11mths 10days COE left),N.A,N.A,1210,N.A,46970,1997,1615,2015,Auto,37993,45191,135,1,N.A
Nissan,Van,29-Apr-2015,5yrs 1mth 10days COE left),N.A,N.A,N.A,N.A,25361,1597,1240,2014,Auto,15715,786,2,N.A,N.A
Nissan,Van,06-Aug-2008,3yrs 4mths 18days COE left),4670,N.A,N.A,10545,15582,2953,1760,2008,Manual,24469,1224,1,N.A,15800
Lexus,Luxury Sedan,09-Oct-2015,5yrs 6mths 20days COE left),N.A,N.A,N.A,N.A,61300,2494,1705,2015,Auto,45629,50881,151,2,N.A
Nissan,Van,30-Sep-2010,5yrs  COE left),4210,N.A,N.A,N.A,N.A,2953,1800,2010,Manual,27954,1398,3,N.A,21062
Honda,MPV,04-Jul-2008,3yrs 1mth 12days COE left),7310,125000,1174,12746,20441,1799,1370,2008,Auto,20627,20627,103,3,22800
Lexus,Luxury Sedan,22-Dec-2008,8yrs 9mths 3days COE left),5930,N.A,2160,27663,31553,2500,1625,2008,Auto,37374,37374,153,3,51999
Honda,MPV,21-Mar-2009,9yrs 2days COE left),6640,110000,1791,29752,33018,2354,1680,2009,Auto,37019,37019,132,3,59800
Mitsubishi,Mid-Sized Sedan,09-Apr-2007,2yrs 13days COE left),N.A,N.A,954,N.A,24715,1584,1162,2007,Manual,10275,11303,79,3,N.A
Maserati,Sports Car,16-Sep-2010,10yrs  COE left),17580,70900,5030,N.A,N.A,4691,1980,2010,Auto,140469,140469,323,1,175888
Nissan,Van,12-Sep-2014,4yrs 5mths 24days COE left),6210,N.A,N.A,19297,43001,1461,1320,2014,Manual,20286,1015,2,N.A,27888
Mercedes-Benz,Luxury Sedan,25-Feb-2016,5yrs 11mths 6days COE left),N.A,N.A,740,N.A,51301,1595,1430,2015,Auto,28046,26265,90,1,N.A
Rolls,Luxury Sedan,N.A.,NA,N.A.,N.A,N.A,N.A,10,6750,N.A,N.A,$10,000,1,N.A,N.A,N.A,88000
BMW,Luxury Sedan,30-Apr-2010,1mth 11days COE left),N.A,N.A,1208,N.A,49000,1995,1390,2010,Auto,30274,30274,100,3,N.A
Honda,SUV,30-Dec-2015,5yrs 9mths 11days COE left),8650,56300,682,38709,54301,1496,1190,2015,Auto,19718,9718,96,1,54888
BMW,Luxury Sedan,10-Jun-2010,10yrs  COE left),5690,N.A,1208,N.A,N.A,1995,1390,2010,Auto,26971,26971,100,5,56888
Honda,Mid-Sized Sedan,17-Jul-2006,6yrs 3mths 28days COE left),6920,90456,1369,32690,51630,1799,1219,2006,Auto,21245,23370,103,2,43800
Peugeot,Sports Car,31-Dec-2009,9yrs 1mth 12days COE left),5700,105600,816,23880,26175,1598,1391,2009,Auto,29303,29303,88,4,52000
Toyota,SUV,11-Jul-2016,6yrs 3mths 22days COE left),11440,78000,1196,55742,56089,1986,1610,2016,Auto,28639,27095,111,1,85800
Toyota,SUV,27-Aug-2008,8yrs 2mths 13days COE left),N.A,N.A,2431,N.A,38712,2693,1940,2008,Auto,33349,33349,120,3,N.A
Honda,Mid-Sized Sedan,30-Mar-2010,10yrs  COE left),N.A,N.A,740,N.A,N.A,1595,1220,2008,Auto,25281,25281,92,2,N.A
Toyota,SUV,05-Dec-2017,7yrs 8mths 16days COE left),N.A,N.A,N.A,N.A,57390,1797,1440,2017,Auto,27911,5000,90,1,N.A
Toyota,MPV,30-Sep-2010,6mths 11days COE left),N.A,N.A,1198,N.A,42501,1987,1380,2009,Auto,22003,22003,106,2,N.A
Kia,MPV,29-Apr-2016,6yrs 1mth 10days COE left),N.A,N.A,1212,N.A,45009,1999,1544,2015,Auto,20209,20293,122,1,N.A
Porsche,Sports Car,28-Feb-2011,11mths 9days COE left),38380,122000,3332,58823,45501,3605,1760,2010,Auto,109020,109020,224,4,90888
Toyota,MPV,12-May-2011,1yr 1mth 23days COE left),N.A,N.A,1638,N.A,56801,2362,1930,2010,Auto,44166,44166,125,4,N.A
Porsche,Sports Car,28-Nov-2008,8yrs 8mths 9days COE left),12530,N.A,2422,27950,32121,2687,1435,2008,Auto,77141,77141,180,4,109000
Mazda,MPV,23-Mar-2017,7yrs 4days COE left),9710,44000,1210,50303,51000,1998,1535,2016,Auto,19377,19377,111,1,77800
Mitsubishi,Mid-Sized Sedan,15-Jun-2010,5yrs  COE left),6360,N.A,684,N.A,N.A,1499,1313,2009,Auto,17035,17035,80,1,31800
BMW,Hatchback,27-Jun-2017,7yrs 3mths 8days COE left),9860,56900,1182,40244,42801,1496,1350,2017,Auto,25094,12132,85,1,77800
Mercedes-Benz,Luxury Sedan,04-Oct-2016,6yrs 6mths 15days COE left),17680,54822,740,53257,51506,1595,1430,2016,Auto,27886,26041,90,1,128800
Mitsubishi,Truck,28-Sep-2018,8yrs 6mths 9days COE left),17550,N.A,N.A,26535,31092,10677,11540,2017,Auto,102042,5103,1,N.A,149800
BMW,Hatchback,15-Apr-2016,6yrs 27days COE left),N.A,N.A,1182,N.A,46009,1496,1350,2016,Auto,23752,10253,85,1,N.A
Mazda,SUV,26-Feb-2016,5yrs 11mths 7days COE left),N.A,N.A,1786,N.A,46970,2488,1568,2016,Auto,27101,29942,141,1,N.A
Audi,Luxury Sedan,24-Jul-2013,3yrs 4mths 5days COE left),N.A,N.A,1194,N.A,76389,1984,1565,2013,Auto,43891,48448,132,2,N.A
Volkswagen,Hatchback,30-Apr-2015,5yrs 1mth 11days COE left),N.A,N.A,508,N.A,67601,1197,1229,2014,Auto,18127,5000,77,1,N.A
Toyota,MPV,03-Aug-2015,5yrs 4mths 15days COE left),13990,65000,1638,55611,58109,2362,1790,2015,Auto,28913,32479,125,2,91500
Honda,MPV,04-Sep-2015,5yrs 5mths 16days COE left),N.A,N.A,1630,N.A,57885,2356,1855,2015,Auto,27090,29926,129,1,N.A
Lexus,Hatchback,22-Mar-2011,1yr 3days COE left),N.A,N.A,N.A,N.A,67009,1798,1410,2011,Auto,33555,20133,73,2,N.A
Mercedes-Benz,Hatchback,27-Aug-2015,5yrs 5mths 8days COE left),10120,96000,740,50782,61000,1595,1425,2015,Auto,26023,23433,90,3,66800
Toyota,Van,14-Feb-2020,9yrs 10mths 26days COE left),6740,N.A,N.A,20320,20494,2982,1700,2019,Manual,28138,1407,1,N.A,66800
Jaguar,Luxury Sedan,28-Jan-2013,2yrs 10mths 9days COE left),N.A,N.A,1212,N.A,96101,1999,1873,2012,Auto,51054,51054,177,1,N.A
Toyota,Truck,25-Jan-2010,4yrs 10mths 6days COE left),N.A,N.A,N.A,N.A,12443,2982,1780,2009,Manual,24970,1249,1,N.A,N.A
BMW,Luxury Sedan,23-Mar-2012,2yrs 4days COE left),14920,70000,1210,42082,78000,1997,1455,2011,Auto,43995,43995,180,3,52000
Toyota,Mid-Sized Sedan,18-Jan-2007,1yr 9mths 30days COE left),7520,N.A,965,9297,25323,1598,1115,2006,Auto,15355,14914,81,4,13800
Honda,MPV,29-Jun-2007,2yrs 3mths 10days COE left),N.A,N.A,1271,N.A,27044,1799,1350,2007,Auto,17064,18771,103,2,N.A
Kia,Sports Car,25-Feb-2010,4yrs 11mths 6days COE left),6640,90000,738,16329,16519,1591,1232,2009,Auto,15754,15754,92,3,32800
Honda,Sports Car,29-Mar-2007,7yrs 10days COE left),N.A,N.A,1573,N.A,50347,1998,1390,2007,Manual,32411,35653,162,3,N.A
