Brand,Type,Reg_date,Coe_left,Dep,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,Price
Toyota,MPV,30-Nov-2016,6yrs 8mths 11days COE left),8200,39000,682,42544,52668,1496,1320,2016,Auto,19647,9647,80,2,59800
Honda,MPV,29-Jan-2016,5yrs 10mths 10days COE left),10890,188447,1630,57604,55001,2356,1855,2015,Auto,29835,33769,129,1,80777
BMW,Sports Car,29-Sep-2017,7yrs 6mths 10days COE left),30850,8000,2362,115923,49189,2979,1540,2016,Auto,73972,105150,331,2,285000
Toyota,MPV,13-Apr-2006,1yr 13days COE left),N.A,N.A,1361,N.A,25466,1794,1300,2006,Auto,18711,20583,97,1,N.A
Renault,MPV,12-Dec-2014,4yrs 8mths 23days COE left),9580,137000,1148,43557,67089,1461,1522,2014,Auto,24875,16825,81,1,53800
Honda,MPV,07-Nov-2009,9yrs 1mth 12days COE left),N.A,N.A,1791,N.A,35411,2354,1640,2008,Auto,35839,35839,151,3,N.A
Honda,Stationwagon,13-Jan-2017,6yrs 9mths 25days COE left),8400,44000,682,38014,48000,1496,1130,2016,Auto,17007,7007,97,1,60800
Hyundai,Stationwagon,30-Mar-2010,5yrs  COE left),N.A,N.A,738,N.A,N.A,1591,1360,2009,Auto,14358,14358,89,2,N.A
Toyota,MPV,26-Feb-2010,10yrs  COE left),N.A,N.A,N.A,N.A,N.A,2362,1970,2009,Auto,45951,27571,110,2,N.A
Volvo,Luxury Sedan,25-Jul-2017,7yrs 4mths 6days COE left),N.A,N.A,1176,N.A,53001,1969,1612,2017,Auto,30675,34945,180,1,N.A
Mitsubishi,Mid-Sized Sedan,28-Apr-2010,5yrs  COE left),N.A,N.A,684,N.A,N.A,1499,1313,2009,Auto,18083,18083,80,2,N.A
Toyota,Mid-Sized Sedan,29-Apr-2009,4yrs 1mth 10days COE left),5100,122700,752,10772,13088,1497,1095,2009,Auto,12104,12104,80,6,21000
Toyota,Luxury Sedan,08-Jul-2010,3mths 19days COE left),N.A,N.A,1638,N.A,39911,2362,1540,2010,Auto,28309,28309,123,3,N.A
Subaru,SUV,05-Oct-2018,8yrs 6mths 16days COE left),8960,12324,1208,39937,32001,1995,1489,2018,Auto,16753,16753,115,1,85000
Hyundai,Mid-Sized Sedan,30-Mar-2010,5yrs  COE left),5760,99786,738,N.A,N.A,1591,1264,2010,Auto,11479,11479,89,1,28800
Toyota,Mid-Sized Sedan,29-Jan-2010,5yrs  COE left),N.A,N.A,742,N.A,N.A,1598,1195,2010,Auto,16716,16716,80,4,N.A
Nissan,Van,13-Nov-2010,5yrs  COE left),4960,120000,N.A,N.A,N.A,1461,1280,2010,Manual,23496,1175,2,N.A,24800
Honda,SUV,01-Mar-2017,6yrs 11mths 10days COE left),N.A,N.A,N.A,N.A,50621,1496,1310,2016,Auto,29650,5000,112,1,N.A
BMW,Hatchback,18-Aug-2017,7yrs 4mths 30days COE left),N.A,N.A,1182,N.A,46778,1496,1395,2017,Auto,28095,21333,85,1,N.A
Mercedes-Benz,SUV,17-Dec-2015,5yrs 8mths 28days COE left),26090,33500,2382,109152,60000,2996,2130,2015,Auto,70850,99530,245,1,199800
Lexus,SUV,31-Aug-2018,8yrs 5mths 12days COE left),N.A,N.A,1210,N.A,33420,1998,1755,2018,Auto,47371,58320,175,1,N.A
Mercedes-Benz,Hatchback,28-Jul-2017,7yrs 4mths 9days COE left),N.A,N.A,740,N.A,45201,1595,1395,2017,Auto,23295,19613,90,1,N.A
Honda,MPV,24-Nov-2016,6yrs 8mths 5days COE left),12490,49300,1630,66230,56410,2356,1855,2016,Auto,32861,38006,129,1,102500
Toyota,Luxury Sedan,27-Jan-2010,4yrs 10mths 8days COE left),N.A,N.A,1210,N.A,19732,1998,1530,2009,Auto,27271,27271,108,2,N.A
Mercedes-Benz,Sports Car,17-Dec-2015,5yrs 8mths 28days COE left),29780,26552,3922,137310,60000,3982,1715,2015,Auto,91708,137075,350,1,239800
Hyundai,SUV,11-Nov-2015,5yrs 7mths 23days COE left),10130,45800,1212,49798,57501,1999,1540,2015,Auto,22188,23064,114,1,68800
Kia,Mid-Sized Sedan,10-Feb-2010,4yrs 10mths 22days COE left),N.A,N.A,738,N.A,16519,1591,1251,2009,Auto,11245,11245,92,3,N.A
Honda,Hatchback,10-Feb-2020,9yrs 10mths 22days COE left),N.A,N.A,578,N.A,30010,1317,N.A,2019,Auto,15823,5823,73,1,N.A
Toyota,Hatchback,13-Nov-2015,5yrs 7mths 25days COE left),9240,43000,682,35369,55889,1496,1090,2015,Auto,18300,5000,73,2,54800
Toyota,Mid-Sized Sedan,02-Mar-2010,NA,N.A,N.A,684,N.A,20340,1497,1095,2009,Auto,12717,12717,80,1,N.A
BMW,Luxury Sedan,21-Mar-2011,1yr 2days COE left),18900,N.A,2362,51327,62001,2979,1895,2011,Auto,81988,81988,240,5,60000
Honda,Sports Car,05-Sep-2007,7yrs 5mths 17days COE left),16070,132000,1815,37608,50355,2156,1250,2007,Manual,41984,46183,178,2,120000
Hyundai,Mid-Sized Sedan,13-Jul-2018,8yrs 3mths 24days COE left),7380,37957,738,28867,25000,1591,1345,2018,Auto,10745,10745,93,1,66800
Volkswagen,Hatchback,15-Jan-2015,4yrs 9mths 27days COE left),8590,60000,508,35384,66010,1197,1229,2014,Auto,18100,5000,77,2,44000
Nissan,Mid-Sized Sedan,30-Sep-2008,3yrs 6mths 11days COE left),5600,113000,890,11430,16170,1597,1085,2007,Manual,11671,8776,81,3,19800
Mitsubishi,Mid-Sized Sedan,05-Mar-2010,10yrs  COE left),N.A,N.A,684,N.A,N.A,1499,1313,2009,Auto,17827,17827,80,1,N.A
Porsche,SUV,18-Feb-2015,4yrs 10mths 30days COE left),24950,49800,1194,92254,70890,1984,1940,2014,Auto,61073,81932,174,2,163800
Toyota,Mid-Sized Sedan,17-May-2010,5yrs  COE left),6960,128557,684,N.A,N.A,1497,1095,2010,Auto,12331,12331,80,2,34800
Daihatsu,Sports Car,26-Feb-2008,2yrs 11mths 7days COE left),8460,N.A,391,12394,21061,659,840,2007,Auto,13871,11129,47,6,24888
Nissan,Van,28-Nov-2014,4yrs 8mths 9days COE left),N.A,N.A,N.A,N.A,49798,2488,1800,2014,Manual,23804,1191,1,N.A,N.A
BMW,Sports Car,29-Sep-2011,1yr 6mths 10days COE left),N.A,N.A,3948,N.A,70117,3999,1625,2011,Auto,80783,80783,308,2,N.A
Fiat,Van,21-Apr-2011,1yr 1mth 2days COE left),7150,N.A,N.A,3117,28589,1910,1300,2010,Manual,17501,876,2,N.A,7800
Honda,Stationwagon,29-Sep-2008,3yrs 5mths 13days COE left),N.A,N.A,818,N.A,17099,1496,1190,2008,Auto,16375,14858,81,2,N.A
Toyota,Van,30-Jul-2004,4yrs 4mths 11days COE left),N.A,N.A,N.A,N.A,13880,2184,1300,2004,Manual,22620,1131,3,N.A,N.A
Perodua,Hatchback,19-May-2016,6yrs 2mths  COE left),5040,85200,70,24602,30889,998,850,2016,Auto,12392,7392,49,1,34800
Mercedes-Benz,Hatchback,21-May-2015,5yrs 2mths 2days COE left),N.A,N.A,740,N.A,62002,1595,1395,2015,Auto,22209,13093,90,1,N.A
Toyota,Mid-Sized Sedan,08-Dec-2010,8mths 19days COE left),N.A,N.A,684,N.A,33132,1497,1095,2010,Auto,12306,12306,80,2,N.A
MINI,Sports Car,16-Jul-2010,10yrs  COE left),6280,157000,742,N.A,N.A,1598,1155,2010,Auto,27332,27332,135,3,62800
Audi,Luxury Sedan,24-Oct-2016,6yrs 7mths 5days COE left),N.A,N.A,624,N.A,50991,1395,1310,2016,Auto,25068,17096,92,2,N.A
Honda,MPV,27-Jul-2007,2yrs 4mths 8days COE left),N.A,N.A,1271,N.A,26237,1799,1350,2007,Auto,17527,19280,103,3,N.A
Audi,Luxury Sedan,11-Mar-2014,3yrs 11mths 21days COE left),N.A,N.A,624,N.A,76999,1395,1310,2013,Auto,27212,15097,90,1,N.A
Hyundai,Mid-Sized Sedan,29-Apr-2008,3yrs 1mth 10days COE left),6680,135000,886,12031,19328,1591,1264,2008,Auto,12953,12953,89,3,20800
Toyota,MPV,10-Feb-2010,4yrs 10mths 22days COE left),N.A,N.A,1198,N.A,19036,1987,1380,2010,Auto,22003,22003,106,4,N.A
BMW,Luxury Sedan,21-Jun-2012,2yrs 3mths 2days COE left),14960,153000,1210,42469,85889,1997,1420,2012,Auto,38465,38465,135,2,53000
Toyota,Mid-Sized Sedan,11-Apr-2008,3yrs 23days COE left),N.A,N.A,818,N.A,19328,1496,1130,2008,Auto,12240,12240,81,2,N.A
Volkswagen,MPV,06-Jan-2012,1yr 9mths 18days COE left),N.A,N.A,620,N.A,48006,1390,1536,2011,Auto,21825,21825,103,3,N.A
